A1BG P04217
A1CF Q9NQ94
A2M P01023
A2ML1 A8K2U0
A4GALT Q9NPC4
A4GNT Q9UNA3
AAAS Q9NRG9
AACS Q86V21
AADAC P22760
AADACL2 Q6P093
AADACL3 Q5VUY0
AADAT Q8N5Z0
AAGAB Q6PD74
AAK1 Q2M2I8
AAMDC Q9H7C9
AAMP Q13685
AANAT Q16613
AAR2 Q9Y312
AARD Q4LEZ3
AARS1 P49588
AARS2 Q5JTZ9
AASDH Q4L235
AATK Q6ZMQ8
ABAT P80404
ABCA1 O95477
ABCA10 Q8WWZ4
ABCA12 Q86UK0
ABCA13 Q86UQ4
ABCA2 Q9BZC7
ABCA3 Q99758
ABCA4 P78363
ABCA5 Q8WWZ7
ABCA6 Q8N139
ABCA7 Q8IZY2
ABCA8 O94911
ABCA9 Q8IUA7
ABCB1 P08183
ABCB10 Q9NRK6
ABCB11 O95342
ABCB4 P21439
ABCB5 Q2M3G0
ABCB6 Q9NP58
ABCB7 O75027
ABCB8 Q9NUT2
ABCB9 Q9NP78
ABCC1 P33527
ABCC10 Q5T3U5
ABCC11 Q96J66
ABCC12 Q96J65
ABCC2 Q92887
ABCC3 O15438
ABCC4 O15439
ABCC6 O95255
ABCC8 Q09428
ABCC9 O60706
ABCD1 P33897
ABCD2 Q9UBJ2
ABCD3 P28288
ABCD4 O14678
ABCE1 P61221
ABCF1 Q8NE71
ABCF3 Q9NUQ8
ABCG1 P45844
ABCG2 Q9UNQ0
ABCG4 Q9H172
ABCG5 Q9H222
ABCG8 Q9H221
ABHD1 Q96SE0
ABHD10 Q9NUJ1
ABHD12 Q8N2K0
ABHD12B Q7Z5M8
ABHD14A Q9BUJ0
ABHD15 Q6UXT9
ABHD16B Q9H3Z7
ABHD17B Q5VST6
ABHD2 P08910
ABHD3 Q8WU67
ABHD5 Q8WTS1
ABHD6 Q9BV23
ABI1 Q8IZP0
ABI3 Q9P2A4
ABI3BP Q7Z7G0
ABL1 P00519
ABL2 P42684
ABLIM1 O14639
ABLIM2 Q6H8Q1
ABLIM3 O94929
ABO P16442
ABR Q12979
ABRAXAS1 Q6UWZ7
ABTB2 Q8N961
ACAA1 P09110
ACAA2 P42765
ACACA Q13085
ACACB O00763
ACAD10 Q6JQN1
ACAD11 Q709F0
ACAD8 Q9UKU7
ACAD9 Q9H845
ACADL P28330
ACADM P11310
ACADS P16219
ACADSB P45954
ACADVL P49748
ACAN P16112
ACAP1 Q15027
ACAT1 P24752
ACAT2 Q9BWD1
ACBD3 Q9H3P7
ACBD4 Q8NC06
ACBD5 Q5T8D3
ACCS Q96QU6
ACCSL Q4AC99
ACD Q96AP0
ACE P12821
ACE2 Q9BYF1
ACER2 Q5QJU3
ACER3 Q9NUN7
ACHE P22303
ACIN1 Q9UKV3
ACKR1 Q16570
ACKR2 O00590
ACKR3 P25106
ACLY P53396
ACO1 P21399
ACO2 Q99798
ACOT1 Q86TX2
ACOT11 Q8WXI4
ACOT12 Q8WYK0
ACOT2 P49753
ACOT4 Q8N9L9
ACOT6 Q3I5F7
ACOT9 Q9Y305
ACOX1 Q15067
ACOX2 Q99424
ACOX3 O15254
ACOXL Q9NUZ1
ACP1 P24666
ACP2 P11117
ACP3 P15309
ACP4 Q9BZG2
ACP5 P13686
ACP6 Q9NPH0
ACR P10323
ACRBP Q8NEB7
ACRV1 P26436
ACSBG1 Q96GR2
ACSBG2 Q5FVE4
ACSF2 Q96CM8
ACSF3 Q4G176
ACSL3 O95573
ACSL4 O60488
ACSL5 Q9ULC5
ACSM1 Q08AH1
ACSM2A Q08AH3
ACSM3 Q53FZ2
ACSM4 P0C7M7
ACSM5 Q6NUN0
