A2M NP_000005.3
A2ML1 NP_653271.3
A4GALT NP_059132.1
AAAS NP_056480.1
AACS NP_076417.2
AADAC NP_001077.2
AADACL2 NP_997248.2
AADACL4 NP_001013652.1
AAGAB NP_078942.3
AAK1 NP_055726.4
AAMDC NP_078960.1
AANAT NP_001079.1
AAR2 NP_001258803.1
AARS1 NP_001596.2
AARS2 NP_065796.2
AASS NP_005754.2
AATF NP_036270.1
ABAT NP_065737.2
ABCA12 NP_775099.2
ABCA3 NP_001080.2
ABCA4 NP_000341.2
ABCA5 NP_758424.1
ABCA7 NP_061985.2
ABCB10 NP_036221.2
ABCB11 NP_003733.2
ABCB4 NP_000434.1
ABCB5 NP_001157413.1
ABCB5 NP_848654.3
ABCB6 NP_005680.1
ABCB7 NP_001258625.1
ABCB8 NP_009119.2
ABCC10 NP_001185863.1
ABCC12 NP_001380726.1
ABCC12 NP_150229.2
ABCC2 NP_000383.2
ABCC3 NP_003777.2
ABCC4 NP_005836.2
ABCC5 NP_005679.2
ABCC6 NP_001162.4
ABCC6 NP_001162.5
ABCC8 NP_000343.2
ABCC9 NP_005682.2
ABCD1 NP_000024.2
ABCD2 NP_005155.1
ABCD3 NP_002849.1
ABCD4 NP_005041.1
ABCE1 NP_002931.2
ABCF1 NP_001020262.1
ABCF2 NP_009120.1
ABCF3 NP_060828.2
ABCG4 NP_071452.2
ABCG5 NP_071881.1
ABCG8 NP_071882.1
ABHD12 NP_001035937.1
ABHD14B NP_001139786.1
ABHD17C NP_067037.1
ABHD18 NP_001034806.1
ABHD5 NP_057090.2
ABL1 NP_005148.2
ABLIM1 NP_002304.3
ABLIM2 NP_001123555.1
ABO NP_065202.2
ABR NP_068781.2
ABRAXAS1 NP_620775.2
ACAA2 NP_006102.2
ACACB NP_001084.3
ACAD10 NP_001130010.1
ACAD8 NP_055199.1
ACAD9 NP_054768.2
ACADL NP_001599.1
ACADM NP_000007.1
ACADS NP_000008.1
ACADSB NP_001600.1
ACADVL NP_000009.1
ACAP1 NP_055531.1
ACAT1 NP_000010.1
ACAT2 NP_005882.2
ACCS NP_115981.1
ACE NP_000780.1
ACER1 NP_597999.1
ACHE NP_000656.1
ACHE NP_001289550.1
ACKR3 NP_064707.1
ACLY NP_001087.2
ACO1 NP_002188.1
ACO2 NP_001089.1
ACOT2 NP_006812.3
ACOT6 NP_001032239.1
ACOX1 NP_004026.2
ACOX2 NP_003491.1
ACP1 NP_004291.1
ACP3 NP_001090.2
ACP4 NP_149059.1
ACP5 NP_001602.1
ACP6 NP_057445.4
ACR NP_001088.2
ACSBG1 NP_055977.3
ACSBG2 NP_001276106.1
ACSBG2 NP_112186.3
ACSF2 NP_079425.3
ACSF3 NP_001230208.1
ACSL3 NP_004448.2
ACSL4 NP_075266.1
ACSM1 NP_001305819.1
ACSM2B NP_001098539.1
ACSM3 NP_005613.2
ACSM4 NP_001073923.1
ACSM5 NP_060358.2
ACSS2 NP_001070020.2
ACSS2 NP_061147.1
ACTA1 NP_001091.1
ACTA2 NP_001604.1
ACTB NP_001092.1
ACTC1 NP_005150.1
ACTG1 NP_001605.1
